"Interval","Names","totalMentions","per.Names","per.Mentions"
"01 = n",12416,12416,78.2258064516129,40.5592578073958
"02 = n",1810,3620,11.4037298387097,11.8254279367568
"03 = n",580,1740,3.65423387096774,5.68404547236378
"04 = n = 5",489,2117,3.08089717741935,6.9155886580426
"06 = n > 10",278,1982,1.75151209677419,6.47458513001437
"10 = n > 20",169,2257,1.06476814516129,7.37292565007187
"20 = n > 30",59,1402,0.371723790322581,4.57990330589311
"30 = n > 40",36,1349,0.226814516129032,4.40676858748203
"n = 50",35,3729,0.220514112903226,12.1814974519796
"Total",15872,30612,100,100
