"","x"
"1","term"
"2","1966"
"3","1966"
"4","1966"
"5","1966"
"6","1966"
"7","1966"
"8","1966"
"9","1966"
"10","1967"
"11","1967"
"12","1967"
"13","1967"
"14","1967"
"15","1967"
"16","1967"
"17","1967"
"18","1967"
"19","1967"
"20","1967"
"21","1967"
"22","1968"
"23","1968"
"24","1968"
"25","1968"
"26","1968"
"27","1968"
"28","1968"
"29","1968"
"30","1968"
"31","1968"
"32","1968"
"33","1968"
"34","1969"
"35","1969"
"36","1969"
"37","1969"
"38","1969"
"39","1969"
"40","1969"
"41","1969"
"42","1969"
"43","1969"
"44","1969"
"45","1969"
"46","1970"
"47","1970"
"48","1970"
"49","1970"
"50","1970"
"51","1970"
"52","1970"
"53","1970"
"54","1970"
"55","1970"
"56","1971"
"57","1971"
"58","1971"
"59","1971"
"60","1971"
"61","1971"
"62","1971"
"63","1971"
"64","1971"
"65","1971"
"66","1971"
"67","1971"
"68","1972"
"69","1972"
"70","1972"
"71","1972"
"72","1972"
"73","1972"
"74","1972"
"75","1972"
"76","1972"
"77","1972"
"78","1972"
"79","1972"
"80","1973"
"81","1973"
"82","1973"
"83","1973"
"84","1973"
"85","1973"
"86","1973"
"87","1973"
"88","1973"
"89","1973"
"90","1973"
"91","1973"
"92","1974"
"93","1974"
"94","1974"
"95","1974"
"96","1974"
"97","1974"
"98","1974"
"99","1974"
"100","1974"
"101","1974"
"102","1974"
"103","1974"
"104","1975"
"105","1975"
"106","1975"
"107","1975"
"108","1975"
"109","1975"
"110","1975"
"111","1975"
"112","1975"
"113","1976"
"114","1976"
"115","1976"
"116","1976"
"117","1976"
"118","1976"
"119","1976"
"120","1976"
"121","1976"
"122","1976"
"123","1976"
"124","1976"
"125","1977"
"126","1977"
"127","1977"
"128","1977"
"129","1977"
"130","1977"
"131","1977"
"132","1977"
"133","1977"
"134","1977"
"135","1978"
"136","1978"
"137","1978"
"138","1978"
"139","1978"
"140","1978"
"141","1979"
"142","1979"
"143","1979"
"144","1979"
"145","1979"
"146","1979"
"147","1979"
"148","1979"
"149","1979"
"150","1979"
"151","1979"
"152","1980"
"153","1980"
"154","1980"
"155","1980"
"156","1980"
"157","1980"
"158","1980"
"159","1980"
"160","1980"
"161","1980"
"162","1980"
"163","1980"
"164","1980"
"165","1981"
"166","1981"
"167","1981"
"168","1981"
"169","1981"
"170","1981"
"171","1981"
"172","1981"
"173","1981"
"174","1981"
"175","1981"
"176","1981"
"177","1982"
"178","1982"
"179","1982"
"180","1982"
"181","1982"
"182","1982"
"183","1982"
"184","1982"
"185","1982"
"186","1982"
"187","1982"
"188","1982"
"189","1983"
"190","1983"
"191","1983"
"192","1983"
"193","1983"
"194","1983"
"195","1983"
"196","1983"
"197","1983"
"198","1983"
"199","1983"
"200","1983"
"201","1983"
"202","1984"
"203","1984"
"204","1984"
"205","1984"
"206","1984"
"207","1984"
"208","1984"
"209","1984"
"210","1984"
"211","1984"
"212","1984"
"213","1984"
"214","1985"
"215","1985"
"216","1985"
"217","1985"
"218","1985"
"219","1985"
"220","1985"
"221","1985"
"222","1985"
"223","1985"
"224","1985"
"225","1985"
"226","1986"
"227","1986"
"228","1986"
"229","1986"
"230","1986"
"231","1986"
"232","1986"
"233","1986"
"234","1986"
